trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
285,False,"{'a': 0.01, 'e': 0.05784432087483846}",20,15,9.568104570371258,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.01, 'e': 0.057268760265467365}",20,7,20.697685356192363,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.01, 'e': 0.05669892657984692}",30,7,32.360603165865,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.01, 'e': 0.05613476283413374}",25,10,11.582963510010181,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
289,False,"{'a': 0.01, 'e': 0.05557621261148307}",35,27,17.077326171755782,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.01, 'e': 0.055023220056407245}",20,0,34.7084261172086,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.01, 'e': 0.054475729869189866}",25,17,15.85297099397323,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.01, 'e': 0.053933687300356026}",25,0,40.39131821238529,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
293,False,"{'a': 0.01, 'e': 0.05339703814519709}",20,11,17.28653638382647,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.01, 'e': 0.052865728738350375}",20,0,14.526480627193768,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
295,False,"{'a': 0.01, 'e': 0.052339705948432395}",25,7,31.590558337236345,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.01, 'e': 0.05181891717272584}",30,0,28.727124770852406,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
297,False,"{'a': 0.01, 'e': 0.05130331033191912}",25,9,16.652779148412023,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.01, 'e': 0.05079283386489851}",25,7,27.487462812484992,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.01, 'e': 0.05028743672359187}",20,12,16.28763592706682,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.01, 'e': 0.04978706836786395}",20,10,18.616008080718064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.01, 'e': 0.04929167876046216}",20,13,13.368266100441405,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.01, 'e': 0.04880121836201297}",25,17,12.529450687721706,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.01, 'e': 0.048315638126067775}",20,5,27.404563876260763,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.01, 'e': 0.047834889494198375}",20,2,17.559913819875025,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
305,False,"{'a': 0.01, 'e': 0.047358924391140915}",20,7,16.839093596643927,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.01, 'e': 0.04688769521998849}",20,10,-20.39280627585682,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
307,False,"{'a': 0.01, 'e': 0.04642115485743126}",20,14,11.070409856036365,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.01, 'e': 0.04595925664904421}",20,0,28.758688918695224,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
309,False,"{'a': 0.01, 'e': 0.04550195440462158}",20,14,11.825635609531668,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.01, 'e': 0.04504920239355781}",25,17,12.908651835667747,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.01, 'e': 0.04460095534027454}",35,24,10.126944491684764,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.01, 'e': 0.04415716841969287}",35,19,6.853656105431063,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
313,False,"{'a': 0.01, 'e': 0.04371779725275095}",20,10,7.600946753859716,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
314,False,"{'a': 0.01, 'e': 0.0432827979019659}",20,15,8.58394936019579,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.01, 'e': 0.042852126867040194}",20,7,22.471090503765037,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.01, 'e': 0.04242574108051139}",35,22,15.635995804748928,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
317,False,"{'a': 0.01, 'e': 0.04200359790344556}",20,0,27.96532970029413,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
318,False,"{'a': 0.01, 'e': 0.04158565512117317}",35,13,30.936429274523462,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.01, 'e': 0.041171870939067746}",25,15,16.063419202267866,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.01, 'e': 0.04076220397836622}",35,18,-11.373373626952553,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
321,False,"{'a': 0.01, 'e': 0.040356613272031154}",25,15,17.898386385048855,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.01, 'e': 0.0399550582606539}",20,8,22.696349771298756,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.01, 'e': 0.03955749878839873}",25,17,19.339287287178056,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.01, 'e': 0.03916389509898707}",30,2,41.64114294788017,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.01, 'e': 0.038774207831722016}",25,1,-20.80643361472928,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
326,False,"{'a': 0.01, 'e': 0.03838839801755206}",25,10,22.1302011959866,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.01, 'e': 0.03800642707517432}",30,20,14.80858926662798,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.01, 'e': 0.03762825680717621}",25,10,20.586729868342264,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.01, 'e': 0.037253849396215816}",20,8,5.631529418716344,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
